0:0:0:0:0:0:0:1 - - [03/Aug/2014:15:00:06 +0100] "GET /GestionPersonnels/faces/javax.faces.resource/image002.gif?ln=images HTTP/1.1" 200 1481
0:0:0:0:0:0:0:1 - - [03/Aug/2014:15:00:06 +0100] "GET /GestionPersonnels/faces/javax.faces.resource/howtoimage.aspx.png?ln=images HTTP/1.1" 200 1409
0:0:0:0:0:0:0:1 - - [03/Aug/2014:15:00:06 +0100] "GET /GestionPersonnels/faces/javax.faces.resource/opisanie.png?ln=images HTTP/1.1" 200 1087
0:0:0:0:0:0:0:1 - - [03/Aug/2014:15:00:06 +0100] "GET /GestionPersonnels/faces/javax.faces.resource/images/ff2.jpg HTTP/1.1" 200 271286
0:0:0:0:0:0:0:1 - - [03/Aug/2014:15:00:47 +0100] "GET /GestionPersonnels/faces/Affichage.xhtml HTTP/1.1" 200 5148
0:0:0:0:0:0:0:1 - - [03/Aug/2014:15:00:47 +0100] "GET /GestionPersonnels/faces/javax.faces.resource/ArchitechtPage.css?ln=des HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [03/Aug/2014:15:03:08 +0100] "GET /GestionPersonnels/faces/testPied%20de%20page.xhtml HTTP/1.1" 200 456
0:0:0:0:0:0:0:1 - - [03/Aug/2014:15:03:08 +0100] "GET /GestionPersonnels/faces/javax.faces.resource/PageForm.css?ln=des HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [03/Aug/2014:15:03:15 +0100] "GET /GestionPersonnels/faces/testPied%20de%20page.xhtml HTTP/1.1" 200 456
0:0:0:0:0:0:0:1 - - [03/Aug/2014:15:03:15 +0100] "GET /GestionPersonnels/faces/javax.faces.resource/PageForm.css?ln=des HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [03/Aug/2014:15:03:48 +0100] "GET /GestionPersonnels/faces/testPied%20de%20page.xhtml HTTP/1.1" 200 456
0:0:0:0:0:0:0:1 - - [03/Aug/2014:15:03:50 +0100] "GET /GestionPersonnels/faces/testPied%20de%20page.xhtml HTTP/1.1" 200 456
